RegionName,City,State,Metro,CountyName,SizeRank,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11
MLK 183,Austin,TX,Austin-Round Rock,Travis County,1324,,,,,,,,,,,,,251500,267000,250000,292250,275000,292250,299000,320000,3.00E+05,312000,312000,309950,302500,330000,299900,299450,325000,314900,314900,315000,339450,334000,332450,335000,347450,349999,349995,350000,350000,350000,348500,350000,350000,350000,349900,334450,374999,350000,349900,375000,399000,404000,4.00E+05,4.00E+05,398350,389450,397700
Wyndham,Glen Allen,VA,Richmond,Henrico County,1325,550000,549500,569950,559000,559950,582475,594680,585000,571390,549950,549900,554350,582000,535000,592475,599000,579950,589000,585425,579925,579950,549999,568700,559950,585950,587750,547400,569114,607450,569970,586000,584990,584060,589500,594000,599000,641045,599000,615090,610717.5,572475,589900,582475,604975,585000,599500,599950,599950,599500,582475,575000,6.00E+05,582500,580000,579000,589925,590397.5,585000,582000
Boulder Hill,Montgomery,IL,Chicago-Naperville-Elgin,Kendall County,1326,132277.5,135000,136000,143900,146900,144450,143950,144450,144450,145400,159000,157000,155000,149900,149900,139900,159900,165000,159950,163950,169900,170000,165950,164250,163000,167400,170000,169900,167900,169900,169950,169000,164000,169000,169450,169000,169450,170950,174900,175945,174900,179900,179900,179900,175000,172750,169900,169900,169900,169900,169900,174974,176900,179900,179900,186000,184900,184900,184000
North Hampton,Saint Louis,MO,St. Louis,Saint Louis City,1327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159900,164900,169900,162450,167000,169900,167400,164950,169450,159900,159900,159900,178900,195000,175000,175000,169900,179900,179900,162200,159900,148000
Dormont,Pittsburgh,PA,Pittsburgh,Allegheny County,1328,132900,129900,129900,129900,129900,139900,138900,135200,133900,130900,131900,146250,144950,145000,142400,139900,149900,149900,155000,167250,159900,149949.5,154950,154200,149900,152400,154900,157000,169900,169900,174500,167500,170000,169000,174900,169950,175000,177500,180000,187450,174900,162449.5,166200,159900,149950,145000,149900,155250,159900,159900,152450,169900,184900,184450,189900,204950,199615,197500,189900
Verdemont,San Bernardino,CA,Riverside-San Bernardino-Ontario,San Bernardino County,1329,345000,334900,318950,318500,317000,319990,320570,347249.5,379900,374900,372450,365000,364900,360200,359950,345000,349900,359450,349000,339900,344900,359900,350900,350900,345450,365000,385000,354950,347150,374500,362000,356500,379900,385000,385000,350000,399900,382900,379000,372450,375000,364900,377500,359900,365000,370000,367000,349900,372900,375000,392949.5,382900,378400,387450,378450,369990,373566,396950,395000
Northside,Schenectady,NY,Albany-Schenectady-Troy,Schenectady County,1330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125000,127450,131000,125450,124900,124900,124900,127400,120700,119900,109950,99500,114950,121500,109500,125400,129900,134500,134950,131950
Blackburn,Independence,MO,Kansas City,Jackson County,1331,162450,159500,154500,167450,164000,153000,155000,151450,170000,175000,169950,159900,159925,159900,159900,164900,164900,170000,170000,162000,162000,175000,199000,197000,196500,199000,199800,202450,192500,192475,200750,194900,192500,202700,189000,184500,189800,184455,217000,229000,222450,214500,217450,199500,213000,198950,199250,189900,190000,190000,214900,215000,212400,214900,222000,221000,219900,219700,216500
Empire Ranch,Folsom,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,1332,499450,487950,475000,514950,516975,522500,524950,519900,535950,537000,558475,549000,559900,517000,495000,519500,519000,519000,519250,519750,529900,529900,519900,525000,491999.5,522150,549900,584450,559900,552500,579200,550000,560000,569000,604900,604900,622490,625000,598999.5,599990,587000,594500,629900,675000,650000,675000,654500,667000,665000,659000,678000,659900,675000,675000,637500,670000,654944,646894,649943.5
Southeast Salem,Salem,OR,Salem,Marion County,1333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215000,219000,214140,223110,212000,220000,219900,222450,222500,229900,230000,235000,225000,217450,217450,215000
Rumford,East Providence,RI,Providence-Warwick,Providence County,1334,241450,238700,259900,254900,249900,249900,249900,254000,249450,229900,239000,239450,217500,199500,224950,224900,249000,235000,249450,259900,259900,267900,254900,234950,254450,253900,249900,256200,275000,269900,267400,266950,274900,275500,255000,264900,264900,255000,277400,279900,304400,279900,288450,294000,315000,299000,279900,274700,284900,279900,279900,296200,294450,309000,315000,297450,309900,289900,295000
